AVG,HR,RBI,Avg Annual
0.29,24.5,76.75,24083333
0.32,33.18,114.55,29200000
0.27,27.4,90.6,27500000
0.33,40.45,120.82,24000000
0.27,16.17,58.67,23000000
0.32,22.43,75.71,22500000
0.27,30.8,79.8,25000000
0.31,22.67,91.33,24000000
0.28,21.71,68.0,22000000
0.26,24.86,75.43,23000000
0.32,11.57,67.43,23000000
0.27,19.1,65.4,22000000
0.28,24.38,80.25,22000000
0.26,11.5,47.75,18555556
0.28,9.0,56.07,20666667
0.27,16.5,64.75,14000000
0.29,9.29,44.86,21857143
0.28,25.0,70.17,21625000
0.28,18.14,80.86,18000000
0.29,21.33,76.17,20000000
0.26,17.0,70.0,16875000
0.25,25.38,68.62,23000000
0.26,14.89,58.11,18000000
0.26,13.22,60.0,16400000
0.28,18.4,67.6,15775000
0.26,11.56,47.44,18571429
0.26,12.5,54.1,19600000
0.3,22.67,90.89,17250000
0.32,34.0,97.0,11538462
0.26,17.5,66.0,14285714
0.29,23.57,87.86,18000000
0.26,25.83,78.5,20000000
0.25,21.75,73.38,20000000
0.28,23.42,82.68,18000000
0.3,15.75,77.25,17000000
0.28,27.75,94.0,14750000
0.27,23.27,73.82,21200000
0.29,8.86,57.43,12500000
0.27,15.29,53.29,14250000
0.26,13.33,53.0,14560000
0.28,19.56,73.44,17000000
0.26,8.67,37.67,16500000
0.25,12.7,56.7,14000000
0.28,23.0,67.67,16000000
0.29,12.38,61.62,13750000
0.27,3.33,50.83,15000000
0.24,9.4,52.4,12500000
0.29,22.56,80.56,14750000
0.27,26.78,89.56,16666667
0.3,19.89,74.67,16666667
0.26,19.7,59.7,14250000
0.23,5.67,41.33,8666667
0.29,7.12,40.12,16000000
0.3,15.86,50.71,14000000
0.27,12.67,59.67,8750000
0.29,8.64,51.27,13333333
0.24,12.0,43.25,13000000
0.26,11.62,52.25,13000000
0.3,31.0,102.5,13000000
0.26,11.71,40.0,12666667
0.28,15.6,65.6,12300000
0.23,25.43,73.86,12295756
0.26,24.75,64.75,12000000
0.24,7.25,35.25,16000000
0.28,7.78,50.22,12000000
0.27,5.71,33.57,13000000
0.28,21.33,77.67,6400000
0.27,10.0,39.0,8285714
0.27,19.5,69.92,11000000
0.27,16.2,58.6,11000000
0.29,15.67,73.11,11000000
0.28,1.6,22.8,10000000
0.3,9.0,61.67,8571429
0.25,27.7,83.8,13000000
0.29,31.33,91.33,10850000
0.25,29.0,74.8,10500000
0.26,14.11,54.33,10500000
0.22,2.0,18.67,10333333
0.27,5.0,24.5,6825000
0.29,19.5,77.5,10500000
0.28,8.0,44.43,9166667
0.28,9.0,42.17,14000000
0.25,23.0,63.0,5918483
0.31,12.0,57.57,23357143
0.27,19.2,72.2,9000000
0.24,8.71,34.14,9000000
0.24,15.67,56.67,5000000
0.25,13.8,49.8,8666667
0.29,13.0,55.8,9083333
0.27,17.8,54.4,8500000
0.27,11.86,45.86,6250000
0.29,4.86,41.0,8500000
0.23,9.22,29.89,7500000
0.27,12.64,57.27,8250000
0.27,11.17,45.0,8250000
0.27,8.5,26.0,5166667
0.24,25.0,71.14,8500000
0.23,10.33,35.33,8166667
0.24,14.83,45.17,7900000
0.27,8.83,33.17,7750000
0.27,8.38,38.25,8000000
0.25,10.0,35.38,7500000
0.21,8.0,28.5,5857143
0.28,10.2,56.6,7050000
0.29,6.5,35.0,7081429
0.23,8.67,38.83,6825000
0.25,8.17,39.67,6750000
0.25,22.8,66.4,6700000
0.28,9.5,42.17,6700000
0.28,12.0,57.25,6500000
0.26,4.0,40.5,4710739
0.25,16.5,54.12,6500000
0.25,17.0,54.14,6500000
0.25,15.25,47.75,6500000
0.27,2.0,20.67,4700000
0.26,2.67,23.33,6275000
0.25,6.6,21.5,6250000
0.23,11.4,46.6,6100000
0.19,8.0,28.0,9000000
0.27,14.0,59.6,6050000
0.25,7.5,25.5,3833333
0.25,8.1,41.0,6000000
0.23,13.1,44.4,6000000
0.28,5.75,30.62,6000000
0.28,18.0,51.2,5950000
0.26,3.67,34.5,5900000
0.23,7.44,28.78,5750000
0.29,12.4,51.4,5700000
0.26,9.0,41.0,5587500
0.25,10.5,31.0,5333333
0.26,10.0,37.33,5125000
0.28,3.4,24.4,5100000
0.25,22.79,61.79,5000000
0.28,21.5,71.1,5000000
0.25,6.86,32.0,4850000
0.29,4.33,33.67,6105000
0.25,12.67,57.0,7000000
0.26,13.75,52.75,13833333
0.27,3.4,26.4,4600000
0.28,10.12,50.38,5500000
0.24,13.6,47.8,4500000
0.24,4.5,28.5,4000000
0.25,17.25,60.25,4275000
0.22,15.14,46.71,4250000
0.22,7.67,34.33,5100000
0.21,7.33,25.78,4000000
0.24,9.67,38.0,4125000
0.26,12.5,45.83,4000000
0.25,12.09,45.82,4000000
0.26,14.44,58.0,4000000
0.23,10.33,37.08,4250000
0.19,6.0,21.29,3900000
0.25,1.5,16.38,3750000
0.29,11.5,45.0,6100000
0.26,9.27,51.73,3500000
0.24,17.25,50.62,3500000
0.24,9.2,31.8,3475000
0.29,7.25,42.5,3450000
0.26,5.4,34.8,3400000
0.27,16.0,54.5,3400000
0.25,11.4,40.4,3400000
0.29,9.0,29.0,3350000
0.26,19.33,65.67,8250000
0.29,10.75,46.5,3300000
0.25,8.0,34.2,3250000
0.26,5.09,26.09,3250000
0.24,15.33,64.0,3200000
0.25,12.0,39.0,3125000
0.21,9.5,36.33,3065000
0.28,7.75,43.62,3000000
0.29,8.67,53.0,3500000
0.24,18.33,54.44,3000000
0.28,4.12,35.88,3000000
0.21,15.0,39.4,2975000
0.24,15.75,54.75,2950000
0.26,16.0,55.75,9428571
0.25,8.8,31.8,2900000
0.27,9.5,42.25,2900000
0.29,9.6,40.6,565000
0.29,9.6,40.6,565000
0.23,8.6,32.2,2825000
0.21,4.0,17.0,2800000
0.23,4.6,18.0,2500000
0.25,16.5,45.5,2600000
0.2,15.5,39.25,2600000
0.25,8.0,29.8,2550000
0.25,8.1,34.0,2500000
0.29,3.7,40.8,2500000
0.26,1.57,17.57,2400000
0.25,8.0,34.5,2375000
0.24,5.25,29.0,2350000
0.26,14.75,53.25,2300000
0.19,1.86,10.86,1900000
0.22,6.6,20.2,2100000
0.25,2.17,21.5,2225000
0.24,15.42,48.08,2000000
0.24,15.42,48.08,2000000
0.28,12.0,42.5,2000000
0.24,4.12,27.75,2000000
0.21,3.75,19.5,2000000
0.28,9.4,46.87,2000000
0.23,6.2,29.0,2000000
0.28,4.67,22.17,1975000
0.19,2.5,13.67,1950000
0.22,6.8,23.2,1900000
0.25,5.0,31.08,1750000
0.25,5.43,25.14,1750000
0.26,5.0,21.0,1700000
0.23,3.67,14.0,2250000
0.27,2.67,22.67,4800000
0.24,7.0,22.75,1600000
0.29,14.5,62.0,5583333
0.28,25.0,65.0,4333333
0.24,3.6,24.2,1500000
0.29,8.0,36.33,1450000
0.25,2.33,21.33,1450000
0.25,10.5,45.83,1300000
0.22,5.0,19.75,1275000
0.22,7.0,26.25,1250000
0.2,4.3,21.4,1250000
0.27,10.88,46.12,1200000
0.25,1.0,16.5,1180000
0.22,2.2,9.4,1175000
0.23,1.25,9.88,1050000
0.29,22.0,82.67,1000000
0.23,5.25,20.5,1000000
0.27,17.2,67.4,1000000
0.25,2.67,24.78,1000000
0.26,0.83,7.67,1000000
0.24,19.25,56.75,1000000
0.23,1.0,10.0,1000000
0.28,9.0,30.0,4166667
0.27,2.25,18.75,950000
0.23,2.75,13.75,950000
0.27,5.67,37.67,930000
0.27,5.67,37.67,930000
0.26,1.8,9.8,925000
0.23,4.0,16.6,905000
0.22,0.67,10.33,900000
0.24,4.25,13.75,870000
0.22,3.5,8.5,850000
0.25,3.5,18.0,782000
0.26,4.0,16.25,775000
0.22,5.83,21.33,750000
0.3,6.88,45.88,750000
0.25,11.75,39.5,657000
0.21,0.75,1.25,650000
0.06,0.0,0.0,650000
0.23,18.0,54.0,645000
0.3,20.0,72.67,623200
0.23,28.0,62.0,622300
0.25,10.33,41.33,621900
0.28,11.0,52.0,620500
0.19,17.67,44.0,620400
0.29,1.33,16.33,615500
0.26,16.0,45.33,605094
0.31,17.33,55.33,605000
0.15,15.33,34.0,604500
0.28,16.5,54.5,604500
0.28,16.67,53.33,602500
0.26,23.67,65.0,602500
0.19,1.43,9.71,600000
0.21,1.0,6.4,600000
0.27,13.5,52.5,599000
0.21,12.0,44.0,587500
0.27,39.0,97.0,585000
0.03,0.0,0.0,585000
0.29,5.5,30.0,584500
0.23,10.0,29.5,582000
0.13,1.33,4.33,580000
0.25,14.0,37.0,580000
0.23,9.33,31.67,580000
0.28,8.33,28.67,577200
0.21,1.2,9.0,575000
0.17,0.82,7.91,575000
0.14,2.5,10.0,575000
0.24,5.5,22.25,575000
0.29,4.25,26.25,575000
0.24,5.0,24.0,573500
0.26,14.5,54.5,572500
0.19,12.25,35.75,572400
0.29,4.0,32.0,571000
0.2,9.25,27.0,570100
0.25,24.0,68.0,570000
0.26,2.67,21.0,570000
0.32,9.67,27.0,570000
0.23,1.75,10.5,569600
0.29,10.5,53.5,569500
0.25,4.67,25.33,568500
0.26,20.0,69.33,567400
0.27,4.5,34.0,565000
0.2,8.5,20.5,565000
0.26,7.0,22.0,564800
0.28,10.0,30.0,564500
0.26,20.0,82.5,563560
0.24,1.67,12.0,563500
0.26,17.0,40.0,561900
0.17,1.67,10.0,561500
0.18,1.25,9.75,561500
0.25,4.0,24.0,561500
0.18,7.0,27.5,561000
0.37,7.0,23.5,560400
0.26,8.0,22.67,560400
0.26,10.5,32.0,560200
0.19,2.75,13.75,560100
0.28,1.0,12.33,560000
0.09,0.0,1.0,560000
0.15,16.0,31.67,560000
0.2,2.0,15.0,560000
0.27,1.5,12.0,560000
0.25,9.5,35.0,559600
0.29,19.0,57.5,559200
0.23,4.0,17.0,559200
0.21,7.67,23.0,559000
0.07,0.33,6.67,559000
0.23,3.5,10.0,558600
0.18,1.67,8.0,558400
0.23,6.0,32.0,558100
0.2,1.0,5.6,558000
0.24,2.0,9.33,557900
0.23,2.33,15.0,557471
0.26,0.6,2.2,557100
0.25,6.5,21.0,556900
0.33,13.5,41.5,556500
0.25,2.75,12.0,556200
0.27,3.0,13.5,555968
0.3,4.0,27.0,555000
0.29,6.0,28.0,555000
0.22,2.67,13.67,555000
0.3,0.0,1.0,555000
0.26,25.5,77.0,555000
0.22,4.0,11.5,555000
0.29,0.5,3.5,554000
0.27,6.5,17.5,553900
0.3,15.0,36.0,553800
0.2,0.33,5.33,553600
0.17,7.0,22.33,553100
0.29,12.0,55.0,553000
0.25,2.5,17.0,553000
0.26,9.0,23.0,553000
0.26,18.0,48.0,552500
0.24,0.67,5.67,552500
0.15,1.0,3.33,552000
0.17,6.0,21.0,552000
0.25,5.0,18.5,551600
0.28,2.0,7.67,551300
0.15,0.0,2.0,551300
0.24,8.0,39.0,551200
0.31,5.0,14.67,550700
0.23,4.0,7.0,550100
0.24,2.0,11.5,550100
0.26,2.0,18.0,550000
0.24,8.0,23.0,550000
0.25,0.5,2.5,550000
0.26,7.0,21.0,550000
0.25,1.5,23.0,550000
0.19,1.5,7.5,549400
0.25,4.0,10.0,548940
0.21,4.0,15.0,548500
0.34,4.0,7.0,548500
0.21,5.0,19.0,548300
0.21,5.0,19.0,548300
0.19,1.5,8.0,548300
0.26,3.0,13.0,548000
0.22,6.0,13.0,547990
0.28,2.0,5.5,547800
0.22,0.0,6.0,547600
0.28,3.0,12.0,547500
0.23,14.0,40.0,547500
0.18,12.0,22.5,547500
0.25,1.0,2.0,547500
0.3,0.0,2.0,547500
0.2,0.0,3.0,547500
0.22,2.5,7.0,547000
0.22,0.0,2.0,547000
0.16,0.0,1.0,547000
0.28,1.0,8.0,546900
0.2,9.0,26.0,546800
0.27,0.0,2.0,546500
0.33,2.0,4.0,546500
0.23,3.0,9.0,546500
0.25,1.0,5.0,546400
0.27,0.0,0.0,546000
0.15,0.0,1.0,545700
0.33,1.0,1.0,545700
0.21,0.0,6.0,545500
0.12,0.0,0.0,545400
0.26,0.0,8.0,545000
0.09,0.0,0.0,545000
0.33,0.0,6.0,545000
0.25,3.0,31.0,545000
0.11,2.0,3.0,545000
0.24,0.25,5.75,545000
0.3,7.0,15.0,545000
0.26,3.0,10.0,545000
